tweet;demanda;tema
bueno apunte ser chocante entrar través unir pirámide ser problema;0;
bueno apunte haber ingrediente elemento según cantidad poder ser tam;0;
bueno café coffe timar barbatzarre callevalladolid vitoriagasteiz gasteiz igersgasteiz;0;
bueno robo ahí tener f ruso mandar bueno regalo silbato;0;
bueno tiempo gasteiz inmejorable donosti;0;
bueno comida celebración dominos pizza vitoria;0;
bueno historia superación muchacho tras accidente tener esperar verle año qu;0;
buenísimo acuerdo tras año pito boca niño beber birra;0;
bueno extremo extremo dar tampoco problema ser centro dar risa;0;
bueno noche ser larga esperar salga impune ataque chaval hacia acuerdo;0;
bueno ser reñir comer aprieto hacer raer pues luego hora borrar parar lineart ser problema;0;
bueno menos quedar cartera salir gratis ataque machista payaso;0;
bueno consejo parar dejar limpio toldo preparado parar protegernos sol;0;
bueno día vitoriagasteiz;0;
buf año ruido polvo unir experiencia imaginar;0;
buff saber eh aquel barcelona llevar año arrasandosu problema ir solventar;0;
bus foronda euro solo parar viajar ryainair;0;
buscar kira colonia txagorritxu vitoria;0;
c hondarribia obra remodelación lonja valla ocupar espacio calle licencia obra vis;0;
cada día deyverson parecer peor tener detallar pelea tener huevo saber pasarla piscinazos tela;0;
cada forma caminar vida tener sendero hacia muerte referencia aunque lejano parar mayoría litro;0;
cada momento cuenta vez ser unir historiapero nuevo momento nacer viejosy viejo haber ec;0;
cada mirar interesar cierto ser q problema ps ser global falla hollande vals hamon falla política unidad;0;
caer nievevg álava vitoriagasteiz forma testimonial vídeo dani castro;0;
calendario congresual vitoriagasteiz;0;
calle recién dar cuenta jajajajjajajajaja;0;
cámara tráfico directo;0;
campaña declaración renta pedir cita previo;0;
campeón muaythai lucha violencia género;0;
campo astrónomo barriosantaluciavitoriagasteiz pais vasco spain;0;
cara alegrar vitoria entrar primero persona entrada parar final copa;0;
caravana mujer tranvía;0;
carlos gómez aita oiergomez oieretxerahoy miércoles oieretxeraguneael mayo;0;
carretera vitoria bilbao nacional passat sacar foto pasar túnel hacia altube;0;
carta abrir wyoming sacerdote;0;
casi contar haber ganado batalla mosca ahora ser problema calle;0;
castigar jamar bourousis bus estambul atenas;0;
cazar tres ladrón vitoria huella zapato;1;delincuencia
celebrar día tierra observar odonatoscienciaciudadanavg yurre vitoriagasteiz;0;
cercaenoticias actualidad;0;
chariii chicaya ver litro wassap alegro k esteis bien pelea;0;
chico tranvía si querer tío medio dejar paz deber superar doce probar;0;
chiringuitoclásicojajajajajj seguir vero pq dar asco parto medicina tacto rectal haber metido messi hoy jajjajjaj;0;
choque entrar coche bus américa latinar;1;movilidad
ciclista profesional ser atacar violentamente mientras entrenar;0;
ciclista aire descubrir blog haber detrás sugerente título;0;
cifp eraiken vitoriagasteiz ikaslan arar curso instalación puesta marcha aparato calefacción;0;
cincar cosa debe analizar monitorizar red social marca;0;
cincar herido accidente ap kuartango;0;
cincar herido accidente ap tras vuelco vehículo foto;0;
cita convuelve curling gasteiz partir mañana domingo;0;
ciudad ley seguir ocupación piso vitoria vitoriagasteiz;1;administración pública
claro estan juntosmisma soberviaprepontecia chuleriamedan asco;0;
claro hecho menos problema ver ser experimentar dque poder dar;0;
comenzamoshablando seguridad salud trabajo mayo ahora;0;
comisión hacienda;0;
comisión urbanismo;0;
cómo ahorrar dinero oferta producto gratis;0;
comer bien decir jose luis haber hecho triple kilómetro bici cancha triste pas;0;
comer cuesta madrugar camino radio contigo hora canariasvitoria spain;0;
cómo generar proceso venta predecible;0;
comer hijo médico decir médico descubrir prob;0;
cómo identificar unir víctima violencia escolar;0;
cómo llevar cabo unir inversión;0;
comer gustar ver blusa calle sannnnnpru;0;
cómo poder llegar dar asco unir persona preguntooo;0;
comer mola catedral viejo vitoria santo maria lista monumento patrimonio;0;
comer poder ser forma terminar robo claro último triple;0;
cómo proteger pc nuevo windows defender;0;
cómo publicar texto largo twitter dividirlos fácilmente tuits;0;
comer año haber mani lab aquí frase oída primero mayo mani gasteiz;0;
comer haber hecho rodilla caí vía tranvía;0;
comparador televisión;0;
comparativa moviles;0;
compensar atracón recorrido naturalístico cortejo ranita santo antonio sábado;0;
completar maletín vitoriagasteiz pais vasco spain;0;
comunicar bordillo acera hua encontrar mal afilado hoy haber revolución;1;espacio público
comunicar servicio plaza porticada haber dejar alcorque lleno herbar alta pesar d;1;espacio público
sprint haber pegado bici delante perro poder haber generar electricidad parar pueblo d alrededor;0;
querer decir arbitraje ir bochornoso ir sólo ejempl;0;
retuitear referir retuitear dibujitos gente retuitear mierda tipo batalla épica rt chocolate fav basura;0;
primosvitoria spain;0;
limpia arma atento paño limpiador redolfi armi extremar cloth calidad asegurado unir limpieza;0;
mas somo capaz marcar eibar falta gol ser grave problema;0;
concejal enfadar vitoria sucio vitoriagasteiz;1;limpieza
concluir instalación aparcabicis estación autobús;0;
concurso nanorrelatos parar joven carácter tener escribir verbo leer;0;
concurso moda infantil corte inglés vitoriagasteiz;0;
condenado usar paloma vivir cebo envenenar parar matar ave rapaz;0;
conflicto intergeneracional sólo agravar problema;0;
conocer plaza aparcamiento subterráneo gestionar ayuntamiento;0;
conocer proyecto paralelo cescallevamos año medio hacendar c vitoria junto apasos vitori;0;
conocer obra teatro hora saber ir perdereste;0;
consejo recomendación parar viajar seguro;0;
control calle florido;0;
convocar concurso cartel parar anunciar fiesta blanco;0;
convocar concurso cartel parar anunciar fiesta lablancaaquí tener basar;0;
convocatoria prensa;0;
cóooomo si tener cara asco suprema jajsjdjdjd erar tan lindar querer nana pffff;0;
coreógrafo jon maya cautivar primer espectáculo oteizari biraka entonces segu;0;
correr bola calle mira baño restaurante pakistaní cómete huevo nido unir paloma;0;
corte c cerca baja entrar c félix maría samaniego beato tomás zumárraga;1;movilidad
cortes puntual c santo domingo cruzar c correría;1;movilidad
cosa capaz dejarme tirado parar resto díaburocraciallamadas telefónicasruido ambiental fuertecitas ineludible;0;
cosita plan irónicoha haber cosa gravar ayerun robo así acarrear pena prisión;0;
crecer llegada turista vitoriagasteiz vacación semana santo;0;
crónica jornada ligaaurrerazierbena aurrera vitoriagonzalo julen ander joseba bruno;0;
siguiente especie ser unir invasor programa seguimiento cienciaciudadanavg;0;
cada vez cerca calor día hacer largo cuerpo;0;
creer haber vanear contar instar resulta mismo problema tenia monton gente caidainstagram;0;
detectar problema visión huir remedio mágico consulta oftalmólogo;0;
haber violencia si gustar apoyar instigar rutasocial haber;0;
gente habla jaias gasteiz;0;
tener problema mismo crear q ser página;0;
poder compartir gustar unir persona si renta;0;
sal calle haber nadie vacío;0;
poder compar entrada online menos vitoria dar opción aun gracia;1;administración pública
pasar vídeo nevar gasteiz abril;0;
saludar calle dar tiempo asimilar ser ir ciego palomo;0;
visita salburua sentido humedal brindar sorpresa comer unir rata agua;0;
ser dos mismo problema uiiii;0;
cuanto credibilidad dar noticia panathinaikos tener regresar atenas autobús;0;
cuánto obrero afiliado ninguno sindicato mayoría salir hoy calle alguno organización obrero;0;
current weather in vitoria broken clouds c humidity wind kmh pressure mb;0;
current weather in vitoria few clouds c humidity wind kmh pressure mb;0;
curso roncopatía apnea sueño mayo elcentro formación btiinstituto eduardo anitua vitori;0;
curso online gratuito parar docente ciberacoso;0;
curso matrícula abrir dpto empleo ayto vitoriagasteiz;0;
dar asco asco enemigosdelapaz popatikhartzera;0;
dar asco leer joder si tener mas remedio aguantar injusticia;0;
dar asco;0;
dales silencio ser mejor respuesta frasesconciencia psicología coaching citasvitoria;0;
dar bien asco;0;
dar asco comento;0;
dani lorenzocompartiendo tertulia basket estudio deesperamos pregun;0;
dani parar ser orgullo eny llevar vitoria cancha;0;
daniela tener ninguno problema dar primer paso buscar teléfono querer dar espacio elettra lloro radiotubersdanielablume;0;
finde tierra vasco gustar vitoria cada vez vengar hacer;0;
grado bajo cero jornada vitoria vitoriagasteiz;0;
pintxitos gasteiz spain vasco sistemico love couplevitoria spain;0;
forma gestión programa ser complejo duda problema q señalar segundo;0;
turquía grecia bus haber querer dueño pao troll trolles;0;
verdad tener autobús ser surrealista;1;movilidad
decirle padre asir mas sucio ver nuncano tener q;0;
definir torpe caerte vía tranvía justo venir caer puta cosa;0;
concierto ayer vitoria izasku kimdiosesfielvitoria spain;0;
concierto vitoriatourvitoria spain;0;
pasado memoria futuro objetivo claro centrar mirada línea fuga perspectiva;0;
robo arbitral baskonia belosevic nevera euroliga retirar;0;
delincuencia robar unir panadería intentar kiosko vitoria vitoriagasteiz;1;delincuencia
dell donar elclasico austingp ver vez si ninguno problema gracia;0;
demayo salud seguridad laboral cada minuto producir unir baja accidente enfermedad laboral;0;
denuncia favor árbitro calle parar vida;0;
descomplicada unir bici llevar lado;0;
desconocer cuãl ir motivo denegã cerrar parte patio escuela infantil u;0;
descubrir vitoriagasteiz rincón almendramedieval paseo espectacular rincón;0;
bus haber llamado poli haber dicho zona esperar haber ir rápidoestoy intranquilo mañana llamar ver si decir;0;
menú configuración teclado deber tener problema;0;
eoncult reivindicar nomaltrato toleranciacerocultura yviolencia;0;
unidad mantenimiento urbano visita zona proceder reparaciãn fecha ser;0;
solgranel desear feliz fiesta santo prudenciosanprudentzio sanprudencio gasteiz;0;
deseo saber si plan aprobado exacto respecto ibiurbanismoviviendaplan;1;administración pública
despejar vitoria vitoria gasteiz vitoriagasteiz alava paisvasco euskadi paseodelasenda;0;
después hacer ruta bici gustar disfrutar recordar recorridopues enlace poder;0;
después trabajo mantenimiento sala pesasya nuevo abrir vitoria vitoriagastei;0;
después ocultarle diagnóstico tdah unir madre descubrir hijo encantar saber;0;
después increíble robo arbitral;0;
después especialista trata caso fondo ser;0;
detener violencia matanza masivo litro;0;
detenido tras robar intimidación unir panadería vitoria;1;delincuencia
deyverson fallar esque santo falla ser decir camarasa comer decir banco yay;0;
día pintxos vitoriagasteiz pais vasco spain;0;
día lluvioso traer tarde txikis ataria parar aprender bandeja descúbrelas;0;
día nublado vitoria;0;
diez forma detectar phising;0;
difícil ser poner letra q pedir unir vida parar poder verlo frasesvitoria gasteiz;0;
dindón dindón dindón dindón dindón dindón dindón vitoriafelizjueves;0;
diocesis vitoria novedad;0;
directo protagonista tradición tamborrada;0;
directo sanprudencio sonar tun tun trompeta plaza diputación;0;
directo tambor cocinero majorette;0;
directo tamborrada engánchate;0;
disfrutar paso victoria página miranda danzálava preparar último workshop iñaki azpillaga;0;
disfrutar tercer tiempo paseo gamarra curling harrikada vitoria spcc;0;
dispositivo antiterrorista retreta vitoria foto ayer vitoriagasteiz;0;
dispositivo antiterrorista retreta vitoria foto vitoriagasteiz;0;
diy semana reciclar botar cristal parar decorar rinconcito hogar;0;
don mario scola buesa animar alganar ganar beldur barik;0;
dar fe mono parar ir calle;0;
duda zapatilla convenir recomendación quizá poder ayudarte;0;
durar durar conflicto limpieza vitoria;1;limpieza
edimburgo gran fiesta escocés;0;
eguerdion hora arrancar estíbaliz programa especial paray;0;
eh bildu podar irabazi pedir gestión directo servicio limpieza;1;limpieza
eh bildu podar irabazi pedir ayuntamiento asumir gestión directo servicio limpieza;1;limpieza
aparcabicis estación autobús abrir junio;0;
autobús pao haber llegar atenas minutoyresultado;0;
ayuntamiento actualizar plan prevención riesgo laboral;0;
ayuntamiento ampliar colaboración gobierno vasco formación parar empleo parar obtener certificado;0;
ayuntamiento aprobar plan dar cobertura urbanístico proyecto smartencity barrio coronación;0;
ayuntamiento vitoria negar retraso obra centro cívico zabalgana;1;administración pública
ayuntamiento desmentir haber financiar publicación vestimentes;0;
ayuntamiento deya haber publicar programa semana bici comenzar mayo;0;
ayuntamiento haber retirado subvención parar libro comparar velo pantalón ancho camuflaje;0;
ayuntamiento impulsar colocación nueva luminaria led permitir ahorrar año;0;
ayuntamiento limpia jardín paseo estrasburgo tras denuncia gasteiz hoy;0;
ayuntamiento llama ciudadanía donar sangre escasez reserva actual;0;
ayuntamiento subvencionar libro asociar velo acto rebeldía;0;
ayuntamiento vitoriagasteiz actualizar plan prevención riesgo laboral;0;
ayuntamiento vitoriagasteiz ampliar colaboración gobierno vasco formación parar empleo;0;
ayuntamiento vitoriagasteiz llama ciudadanía donar sangre escasez reserva actual;0;
capitalismo viajar contenedor;0;
ciclista delha ser último etapa winnerswearkalas;0;
ciclista yohann offredo herido unir agresión mientras entrenar;0;
conductor bus conducir bien mal;1;movilidad
contenedor gris basura calle florido estropear palanca parar abrir pie haber roto;1;limpieza
culmen robo;0;
curling volver vitoriagasteiz;0;
curling volver vitoriagasteiz torneo sanprudencio;0;
curling volver torneo sanprudencio;0;
mayo alacalle vitoriagasteiz exigir empleo estable derecho salario justo;0;
mayo eeuu celebrar convocatoria día inmigrante;0;
demayo madrid levantar napoleón junio ir vitoria expulsándolos definitiv;0;
día morir gernika ataque concentrado haber ser gran éxito;0;
día aprender escribir bien ir bici débil;0;
domingo jugar partido entrar baskonia joventut cuál ir primer equipo vitoria jugar penya;0;
dr eduard vieta clausura unir gran jornada curso investigación clínica deen vitoriagast;0;
exceso información ser problema grave ser dejarse aplastar informacion;0;
festival poeta mayo regresar v edición;0;
gabinete urtaran impulsar colocación nueva luminaria led permitir lograr ahorro;0;
gobierno municipal aprobar convenio slow food arar parar fomentar consumo producto local n;0;
gobierno municipal vitoriagasteiz aprobar convenio slow food arar x fomentar consumo producto local;0;
gobierno urtaran aprobar plan dar cobertura urbanístico proyecto smartencity barrio coronación;0;
instinto almacenar común córvido altamente desarrollado urraca cienciaciudadanavg;0;
jueves mayo querer escuchar entu sentir tras desastre viñedo envíanos contac;0;
lugar d copa imprescindible gasteiz;0;
madrid necesitar entrenador verdad problema ser fichar jugador hacer cama;0;
manager general sixers ayer vitoria;0;
mayo poder probar runner cardiomusic deademás malla corta pantorrilleras decompresión;0;
mayor problema crear dolor físico poder contener emocional cosa funcionar así;0;
miércoles día visita escenario della artistaxii ciclo grande concierto;0;
munuera tener unir manía puto payasoque asco arbitros tan penoso pitandoy puto paro;0;
museoestá celebración felicidad año trayectoria;0;
olor pescado podrir seguir sansomendi pesar empresa cumplir;1;limpieza
olor tormenta si poder enfrascar pagar tenerlo;0;
olor obsesión;0;
parking autocaravanas portal foronda queda pequeño;1;movilidad
pp corrupción leer deja leer convertir vestimentes denlibrodeladiscordia gasteiz;0;
primer precedente oficial joventut ir club natación vitoria fase final copa;0;
primero nuevo autobús tuvisa presentar nueva imagen;0;
problema futuro ser ser;0;
problema ser creerse barsa betis ser;0;
problema ser falta conocimiento límite planeta seguir cr;0;
problema ser cada año ir metro alguno fiasco merma sobra dinero;0;
problema ser dala decir extender idea ir instituto;0;
problema ser padre haber roto unir promesa importante prometer dejar presionarme estudio parar agobiar;0;
problema ser saber cuánto cobrar;0;
problema ser si limitar precio parar dartelo regalar dueño alquilar pun;0;
problema ser ficción comer educación parar asimilar ficción ponerla plano corresponder comer;0;
problema señalar además ser aun llamativo zona rm mayor riesgo quedars;0;
problema ver ser parecer animación d estancar nadie parecer querer experimentar;0;
próximo viernes abril fiestassanprudencio enos invitar subir armentia;0;
ruido motoor canción radioooooo;0;
ruido hacer producir escalofrío;0;
sábado durango joyita perplejo ilmaquinario teatro descuento parar alumno equipo;0;
semáforo calle olaguibel cruzar calle fuero encuentro absolutamente innecesario tras;1;movilidad
servicio autobús entrar vitoria aeropuerto foronda tener precio partir mayo;0;
tiempo d vitoria nunca ir comprender;0;
tranvía ser transporte alta capacidad contaminante mejorar calidad vida vecindario decir;1;movilidad
umbral utilizar comer ocurrir renta poder tener grande efecto cambio radical haber tres cuatro factor;0;
eldiario disponible;0;
haber vivir calle aplicate conocer casosy cierto ser sno;0;
elperdió contramenudo robo pesimoarbitraje;0;
eltendrá campus verano salvatierra agurain ser primer campus lejos gasteiz;0;
empezar ruidoviernes mayogaztetxe errekaleor vitoriagasteiz presentación;0;
empujar espíritu aquí envíame;0;
asteguieta haber unir huerta ilegal lado río zadorra regar verdura agua;1;administración pública
autobús alsa normal entrar pierna razón parar viajar viaje madrid;0;
dibujo artístico selectividad sacar ser unir basura luego carrera nunca haber bajar ocho asignatura dibujo;0;
artium gasteizen homenaje juanjo menala culturala músicala armonía mejor ingrediente litro;0;
buesa arena baskonia sumar victoria encajar derrota lejos vitoriagasteiz triunfosy derrota comer visitante;0;
trazado tranvía ser talar árbol;1;movilidad
peli dejar tirar cosa cielo niñera viejo banquero cometasluego si basura espacial;0;
dos jugador tener arma principal problema recibir ahi lian par;0;
fiesta vitoria parar traer cantante ayuntamiento tener gusto culo;1;administración pública
gymnasios vampm vitoria clase defensa personal femeninaque llorar;0;
gymnasios vampm vitoria gasteiz alava c andaluciabajo tener lugar primer open class femen;0;
acera frente clase crear olor colonia ser;0;
calle cadena eleta solo haber dos contenedor ir cambiar diariamente tal forma baja;1;limpieza
calle gabriel celaya altura portal haber unir baldosa peligroso encontrar señalizar;1;espacio público
calle mar tirreno sólo haber paso peatón comienzo fin mismo convenir colocar tercero int;0;
calle ir mirar siempre parar atrás poner seguir gente ver nadieestos twitter mentar;0;
confluencia callar castillo toro castillo bernedo haber dos farola tulipa punto c;0;
esquina calle telesforo aranzadi calle plaza barandiaran junto contenedor calza;0;
ciudad alrededor gasteiz si haber sauna tipo capital gastronómico;0;
partido llegar final opción pesar robo cada pie siempre;0;
opinión desafortunado modelo aparcabicis tirar bici ser doblar llanta decir;1;movilidad
minuto comenzar unir genial visita ciudad vitoriagasteiz pintada colaborativamente pierd;0;
ptal betoño frente moblar tuco haber sumidero acera tapa avisar enero;1;espacio público
tan solo hora tener lugar retreta dar comienzo fiesta honor sanprudencio vitoria;0;
vez cortar problema raíz buscar solución ir solucinar si enseñar;0;
vitoria consulta público previo revisión parcial plan general ordernación urbano armenti;0;
vitoria fiesta sanprudencio aprovechar descubrir hermoso localidad;0;
vitoria mayo sesión explicativo modificación pgou suelo urbanizable industrial;0;
vitoria viernes mayo terminar plazo inscripción plan integral apoyo emprendimiento;0;
vitoria horario autobús parar partido baskoniadivina seguro juventut día hora;0;
vitoria identidad cultural convivencia mesa redonda moderado amelia barquín cc salburua;0;
vitoria refuerzo tuvisa parar acudir derby eibar tarde;0;
vitoria dejo huella recuerdo sacar pistola;0;
vitoria tener agua nieve sol frío calor helada;0;
vitoriagasteis esperar brazo abrir parar vengar vernos día puente mayo;0;
vitoriagasteiz casi fiesta disfrutar serviciosdelimpiezavitoria alava;0;
vitoriagasteiz poder seguirla streaming sede podar c manuel iradier acudir particip;0;
vitoriagasteiz esperar parar conocer ciudad cualquiera visita programar mes mayo;0;
encajar celtics indiano pedir ronda boston celtics ser c;0;
encomendar misión hoy nossa senhora virgen blancadiosdelantevitoria spain;0;
enhay kedadas habitual parar silenciar víaa ver si pu;0;
enklabe escanear casco viejo gasteiz;0;
entonces ser problema;0;
entonces deber cambiar conocimiento basicos biologia bus poner;0;
entrar enero abril denuncia policial caca perro vitoria;0;
entrega medalla álava juanjo mena artiumbiblioteca in vitoriagasteiz;0;
entrevista ahora concejal medio ambiente;0;
enviar recibir emails forma seguro;0;
eoncult decir nomaltrato toleranciacerointerculturaviolencia;0;
reciclaje unir ensalada freír llevar lechuga tomate queso fresco atún;0;
erar manipulacion personatu otegui justificar asesinato dar asco;0;
ertzaina turno buesa seguridad resto vitoria baskonia;1;administración pública
ser extrañar contar reino salgar jamar bbva suspender calcular;0;
ser all star alemania muygrande;0;
ser día primero vez dos año llevar bici carretera ir salir ir correr dar miedo;1;movilidad
ser horrible genialel ataque tomate asesino;0;
ser q tener conversación caso encimar unir bici estática mien;0;
ser grande eeuu ve cómo ser realmente gran isla basura pacífico;0;
ser problema físico llegar tarde nota demasiado;0;
ser tener ver bus nihongo ser comer puto decir japonés japón jfc do ur research kiddo;0;
ser terrible mujer tener soportar nivel violencia dar nomaltrato toleranciacero;0;
mierda fondo ser júndiz sobra mazo asco humano;0;
poesía q calla decir poesía calle q seguir norma supuestamente correctofrases;0;
escándalo lilian tintori simular ataque gas lacrimógeno parar grabar cámara;0;
